Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),26868,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,43589,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Health Companion,39773,3,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),63124,2,NO,100,YES,NO,87,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,36111,3,NO,100,YES,NO,86,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,46829,4,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Guard,47403,3,NO,100,YES,NO,89,,
Max Bupa Health Insurance,Heartbeat (Gold plan),65685,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),53253,2,NO,100,NO,NO,90,,
Care Health Insurance Company Limited,Care,60874,4,SINGLE PRIVATE,50,YES,NO,92,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,41159,3,NO,0,NO,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,70785,3,NO,100,YES,NO,92,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,92076,2,NO,50,YES,NO,89,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,64492,3,NO,100,YES,NO,77,,
Aditya Birla Health Insurance,Activ Assure - Diamond,45225,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),112798,2,NO,100,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,84631,2,NO,100,YES,NO,86,,
Future Generali India Insurance Company Ltd.,Health Total,115691,2,NO,100,YES,NO,90,,
Bharti AXA,Smart Super Health Insurance- Uber,43069,4,NO,0,YES,NO,79,,
The New India Assurance Company,Premier Mediclaim,132559,3,NO,0,YES,NO,87,,
National Insurance Company,Parivar Mediclaim Plus Policy- Plan C,93337,3,NO,0,NO,NO,69,,
