Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),96236,2,NO,0,NO,NO,88,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,182960,2,NO,0,NO,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),135523,2,NO,0,NO,YES,87,,
Max Bupa Health Insurance,Health Companion,126665,3,NO,0,NO,NO,90,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,130121,4,NO,0,NO,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,134760,3,NO,0,NO,NO,86,,
Care Health Insurance Company Limited,Care,188012,4,SINGLE PRIVATE,0,NO,YES,92,,
Royal Sundaram General Insurance Company,Lifeline - Elite,270102,2,NO,0,NO,NO,86,,
Aditya Birla Health Insurance,Activ Assure - Diamond,126631,4,NO,0,NO,YES,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,204531,3,NO,0,NO,NO,77,,
Future Generali India Insurance Company Ltd.,Health Total - Premiere,251774,2,NO,0,NO,YES,90,,
