Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62
Care Health Insurance Company Limited,Care,8,8,10,6,10,10,9,61
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),7,8,10,8,10,10,8,61
Reliance General Insurance,HealthGain - Plan B,8,5,10,8,10,10,9,60
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,6,8,10,8,10,10,8,60
Star Health Insurance,Family Health Optima Insurance Plan,8,8,10,8,10,10,6,60
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,5,10,8,10,10,7,58
Bajaj Allianz General Insurance Company Limited,Health Guard,7,5,10,8,10,10,8,58
Max Bupa Health Insurance,Health Companion,7,5,10,8,10,10,8,58
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,5,10,8,10,10,8,58
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,7,8,10,8,10,10,5,58
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,8,8,10,6,10,10,5,57
Liberty General Insurance Company Limited,Health Connect Elite,7,5,10,8,10,10,7,57
HDFC Ergo Health Insurance,Health Wallet,5,5,10,8,10,10,9,57
Aditya Birla Health Insurance,Activ Assure - Diamond,8,8,10,6,10,10,5,57
Future Generali India Insurance Company Ltd.,Health Total,7,3,10,8,10,10,8,56
Star Health Insurance,Comprehensive Insurance,7,5,10,8,10,10,6,56
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,5,10,8,10,10,5,55
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,6,10,10,8,55
Bharti AXA,Smart Super Health Insurance- Classic,8,8,10,3,10,10,5,54
Liberty General Insurance Company Limited,Health Connect Supreme,6,3,10,8,10,10,7,54
SBI General Insurance Company Ltd.,Arogya Premier,6,8,10,6,10,10,3,53
Iffco Tokio General,Family Health Protector,7,8,10,6,3,10,9,53
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,8,5,10,6,10,10,4,53
Liberty General Insurance Company Limited,Health Connect Basic,7,8,10,8,3,10,7,53
Aditya Birla Health Insurance,Activ Health Platinum - Essential,8,8,10,8,3,10,5,52
Max Bupa Health Insurance,GoActive,6,5,10,3,10,10,8,52
Tata AIG,Tata AIG MediCare Premier,6,3,10,8,10,10,5,52
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,6,10,10,8,51
Future Generali India Insurance Company Ltd.,Health Suraksha,5,8,10,6,3,10,8,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,6,3,10,5,50
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,3,8,10,8,3,10,5,47
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47
Cholamandalam MS General Insurance Company Limited,Healthline - Freedom Plan,5,8,10,6,3,10,5,47
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,6,8,10,4,3,10,5,46
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),3,3,10,8,3,10,8,45
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,6,3,10,5,45
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,8,45
United India Insurance company,Family Medicare,9,8,3,3,3,10,8,44
The New India Assurance Company,Family Floater Mediclaim,9,8,3,3,3,10,8,44
The Oriental Insurance Company,Happy Family Floater-Gold,6,8,3,3,10,10,3,43
United India Insurance company,Family Medicare 2014,7,8,3,3,3,10,8,42
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Superior Plan,4,8,3,6,3,10,5,39
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Advanced Plan,4,8,3,6,3,10,5,39
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39
National Insurance Company,Parivar Mediclaim Policy,7,8,3,3,3,10,3,37
National Insurance Company,Parivar Mediclaim Plus Policy- Plan A,6,5,3,3,3,10,3,33
