Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,10,10,8,10,10,7,63,46829.0,4.0,NO,100.0,YES,NO,89.0
HDFC Ergo Health Insurance,Optima Restore,8,7,10,8,10,10,8,61,43589.0,3.0,NO,100.0,YES,NO,92.0
Max Bupa Health Insurance,Health Companion,8,7,10,8,10,10,8,61,39773.0,3.0,NO,100.0,YES,NO,90.0
Care Health Insurance Company Limited,Care,7,10,10,5,10,10,8,60,60874.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,9,7,10,8,10,10,6,60,36111.0,3.0,NO,100.0,YES,NO,86.0
Bajaj Allianz General Insurance Company Limited,Health Guard,8,7,10,8,10,10,7,60,47403.0,3.0,NO,100.0,YES,NO,89.0
HDFC Ergo Health Insurance,Health Wallet,6,7,10,8,10,10,8,59,70785.0,3.0,NO,100.0,YES,NO,92.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,10,10,5,10,10,4,57,45225.0,4.0,NO,50.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),7,4,10,8,10,10,7,56,63124.0,2.0,NO,100.0,YES,NO,87.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,7,10,8,10,10,4,56,64492.0,3.0,NO,100.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),9,4,10,5,10,10,7,55,26868.0,2.0,NO,50.0,YES,NO,88.0
Bharti AXA,Smart Super Health Insurance- Uber,8,10,10,3,10,10,4,55,43069.0,4.0,NO,0.0,YES,NO,79.0
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,5,4,10,8,10,10,6,53,84631.0,2.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total,3,4,10,8,10,10,8,53,115691.0,2.0,NO,100.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,5,4,10,5,10,10,7,51,92076.0,2.0,NO,50.0,YES,NO,89.0
The New India Assurance Company,Premier Mediclaim,3,7,10,3,10,10,7,50,132559.0,3.0,NO,0.0,YES,NO,87.0
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),7,4,10,8,3,10,8,50,53253.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Gold plan),6,4,10,8,3,10,8,49,65685.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,4,10,8,3,10,8,46,112798.0,2.0,NO,100.0,NO,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,8,7,10,3,3,10,4,45,41159.0,3.0,NO,0.0,NO,NO,77.0
National Insurance Company,Parivar Mediclaim Plus Policy- Plan C,5,7,10,3,3,10,3,41,93337.0,3.0,NO,0.0,NO,NO,69.0
