Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,6,9,10,3,3,10,8,49,69996.0,4.0,NO,0.0,NO,NO,89.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,4,10,3,3,10,7,45,53845.0,2.0,NO,0.0,NO,NO,88.0
Max Bupa Health Insurance,Health Companion,5,6,10,3,3,10,8,45,74816.0,3.0,NO,0.0,NO,NO,90.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,6,6,10,3,3,10,6,44,67792.0,3.0,NO,0.0,NO,NO,86.0
Care Health Insurance Company Limited,Care,8,9,10,3,3,0,9,42,55488.0,4.0,SINGLE PRIVATE,0.0,NO,YES,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,6,9,3,3,3,10,7,41,65726.0,4.0,2% SI,0.0,NO,NO,87.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,4,10,3,3,10,8,41,99909.0,2.0,NO,0.0,NO,NO,89.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,3,3,0,7,40,54988.0,4.0,SINGLE PRIVATE,0.0,NO,YES,87.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,9,10,3,3,0,7,39,64735.0,4.0,SINGLE PRIVATE,0.0,NO,YES,87.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,4,3,3,3,10,8,39,53264.0,2.0,1% SI,0.0,NO,NO,89.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,3,6,10,3,3,10,3,38,90173.0,3.0,NO,0.0,NO,NO,77.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,3,3,0,3,36,55844.0,4.0,NO,0.0,NO,YES,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,6,10,3,3,0,7,35,67708.0,3.0,SINGLE PRIVATE,0.0,NO,YES,87.0
Future Generali India Insurance Company Ltd.,Health Total - Vital,6,4,10,3,3,0,8,34,66320.0,2.0,NO,0.0,NO,YES,90.0
Care Health Insurance Company Limited,Care Freedom,5,4,10,3,3,0,9,34,80750.0,2.0,SINGLE PRIVATE,0.0,NO,YES,92.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,6,9,10,3,3,0,3,34,66076.0,4.0,NO,0.0,NO,YES,77.0
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,10,3,3,3,3,0,5,27,26550.0,1.0,1% SI,0.0,NO,YES,83.0
