Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,3,3,10,8,51
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,4,10,3,3,10,7,45
Max Bupa Health Insurance,Health Companion,5,6,10,3,3,10,8,45
Royal Sundaram General Insurance Company,Lifeline - Supreme,6,6,10,3,3,10,6,44
Care Health Insurance Company Limited,Care,8,9,10,3,3,0,9,42
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,7,9,3,3,3,10,7,42
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,4,10,3,3,10,8,41
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,3,3,0,7,40
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,4,3,3,3,10,8,39
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,9,10,3,3,0,7,39
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,3,6,10,3,3,10,3,38
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,3,3,0,3,36
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,6,10,3,3,0,7,35
Care Health Insurance Company Limited,Care Freedom,6,4,10,3,3,0,9,35
Aditya Birla Health Insurance,Activ Health Platinum - Essential,6,9,10,3,3,0,3,34
Future Generali India Insurance Company Ltd.,Health Total - Vital,5,4,10,3,3,0,8,33
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,10,3,3,3,3,0,5,27
