Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,8,10,8,10,10,8,62,20281.0,4.0,NO,100.0,YES,NO,89.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62,21228.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Care Health Insurance Company Limited,Care,9,8,10,5,10,10,9,61,17412.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),7,8,10,8,10,10,8,61,24444.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan B,8,5,10,8,10,10,9,60,18952.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
Max Bupa Health Insurance,Health Companion,7,5,10,8,10,10,9,59,24178.0,3.0,NO,100.0,YES,NO,90.0
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59,22510.0,3.0,NO,100.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,5,10,8,10,10,8,58,23240.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Future Generali India Insurance Company Ltd.,Health Total - Vital,8,3,10,8,10,10,9,58,20881.0,2.0,NO,100.0,YES,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,7,8,10,8,10,10,5,58,23932.0,4.0,NO,100.0,YES,NO,77.0
Liberty General Insurance Company Limited,Health Connect Elite,7,5,10,8,10,10,7,57,22684.0,3.0,NO,100.0,YES,NO,84.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,7,5,10,8,10,10,7,57,22151.0,3.0,NO,100.0,YES,NO,86.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,5,10,8,10,10,8,57,26363.0,3.0,NO,100.0,YES,NO,89.0
Aditya Birla Health Insurance,Activ Assure - Diamond,9,8,10,5,10,10,5,57,17524.0,4.0,NO,50.0,YES,NO,77.0
Star Health Insurance,Comprehensive Insurance,7,5,10,8,10,10,6,56,22388.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,8,3,8,10,10,8,56,17795.0,4.0,2% SI,100.0,YES,NO,87.0
HDFC Ergo Health Insurance,Health Wallet,4,5,10,8,10,10,9,56,34389.0,3.0,NO,100.0,YES,NO,92.0
Liberty General Insurance Company Limited,Health Connect Supreme,7,3,10,8,10,10,7,55,23634.0,2.0,NO,100.0,YES,NO,84.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,8,10,5,10,10,5,55,22811.0,4.0,NO,50.0,YES,NO,77.0
