Name,Rating,Number,Type
Britannia Industries Ltd,AAA,5.84,"Contra,Short Duration,Large Cap,Focused"
TBill,,4602.179999999995,"Medium to Long Duration,Focused,Ultra short duration,Value,Short Duration,Low Duration,Liquid,Large and Mid Cap,Medium Duration,Dynamic Bond,Mid Cap,Large Cap,Small Cap,Multi Cap"
Bajaj Finance Ltd,AAA,210.58000000000007,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond,Multi Cap"
Tata Steel Ltd,BWR AA,57.330000000000005,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Multi Cap"
Rural Electrification Corporation Limited,AAA,811.3199999999999,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond,Multi Cap"
Coastal Gujarat Power Ltd,CARE AA,106.27999999999992,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond,Multi Cap"
Govt of India,,6795.0300000000025,"Medium to Long Duration,Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Great Eastern Shipping Co Ltd,CARE AA+,25.73999999999999,"Ultra short duration,Dynamic Bond,Medium Duration,Long Duration"
National Highways Authority of India,AAA,290.4000000000002,"Medium to Long Duration,Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
National Bank for Agriculture  Rural Development,AAA,1464.1899999999976,"Medium to Long Duration,Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Indian Railway Finance Corporation Ltd,AAA,391.50000000000017,"Medium to Long Duration,Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Bharat Sanchar Nigam Limited,AAA,37.24,"Medium to Long Duration,Medium Duration,Dynamic Bond"
Food Corporation of India Ltd,LAAA,94.00000000000004,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Power Finance Corporation Ltd,AAA,883.4999999999978,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Canara Bank,INDAAA,61.71999999999998,"Medium to Long Duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Union Bank Of India,AA+,37.52,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Mobil Trust,AAA,5.06,"Ultra short duration,Short Duration,Medium to Long Duration,Low Duration"
Housing  Urban Development Corporation Ltd,LAAA,146.30000000000004,"Medium to Long Duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
State Bank Of India,AAA,306.9600000000004,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Axis Bank Ltd,LAAA,434.55000000000007,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Mahanagar Telephone Nigam Ltd,AAA,49.08,"Short Duration,Medium to Long Duration,Medium Duration,Dynamic Bond"
Jamnagar Utilities  Power Pvt Ltd,AAA,77.55999999999999,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
ICICI Bank Ltd,LAAA,59.940000000000005,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
LIC Housing Finance Ltd,AAA,583.3099999999994,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Tata Sons Ltd,AAA,7.939999999999999,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration"
Housing Development Finance Corporation Ltd,AAA,1209.14,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Power Grid Corporation of India Ltd,AAA,121.56000000000002,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
HDB Financial Services Ltd,AAA,107.02000000000004,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid"
NHPC Ltd,LAAA,74.44000000000004,"Medium to Long Duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
National Thermal Power Corporation Ltd,AAA,323.27,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Reliance Jio Infocomm Ltd,AAA,58.6,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
Export Import Bank Of India,AAA,442.4400000000003,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Nuclear Power Corporation of India Limited,AAA,9.8,"Short Duration,Medium to Long Duration"
Small Industries Development Bank Of India,CARE AAA,272.1999999999999,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
SBI Cards and Payment Services Ltd,AAA,55.24000000000001,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration"
Bank Of Baroda,AAA,469.7900000000002,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Mangalore Refinery  Petrochemicals Ltd,LAAA,46.83000000000001,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
