SN,Code,Name
1,20MICRONS,20 Microns Limited
2,21STCENMGM,21st Century Management Services Limited
3,3IINFOTECH,3i Infotech Limited
4,3MINDIA,3M India Limited
5,3PLAND,3P Land Holdings Limited
6,5PAISA,5Paisa Capital Limited
7,63MOONS,63 moons technologies limited
8,A2ZINFRA,A2Z Infra Engineering Limited
9,AAKASH,Aakash Exploration Services Limited
10,AARON,Aaron Industries Limited
11,AARTIDRUGS,Aarti Drugs Limited
12,AARTIIND,Aarti Industries Limited
13,AARTISURF,Aarti Surfactants Limited
14,AARVEEDEN,Aarvee Denims & Exports Limited
15,AARVI,Aarvi Encon Limited
16,AAVAS,Aavas Financiers Limited
17,ABAN,Aban Offshore Limited
18,ABB,ABB India Limited
19,ABBOTINDIA,Abbott India Limited
20,ABCAPITAL,Aditya Birla Capital Limited
21,ABFRL,Aditya Birla Fashion and Retail Limited
22,ABMINTLTD,ABM International Limited
23,ACC,ACC Limited
24,ACCELYA,Accelya Solutions India Limited
25,ACCURACY,Accuracy Shipping Limited
26,ACE,Action Construction Equipment Limited
27,ACRYSIL,Acrysil Limited
28,ADANIENT,Adani Enterprises Limited
29,ADANIGREEN,Adani Green Energy Limited
30,ADANIPORTS,Adani Ports and Special Economic Zone Limited
31,ADANIPOWER,Adani Power Limited
32,ADANITRANS,Adani Transmission Limited
33,ADFFOODS,ADF Foods Limited
34,ADHUNIKIND,Adhunik Industries Limited
35,ADL,Archidply Decor Limited
36,ADORWELD,Ador Welding Limited
37,ADROITINFO,Adroit Infotech Limited
38,ADSL,Allied Digital Services Limited
39,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
40,ADVENZYMES,Advanced Enzyme Technologies Limited
41,AEGISCHEM,Aegis Logistics Limited
42,AFFLE,Affle (India) Limited
43,AGARIND,Agarwal Industrial Corporation Limited
44,AGCNET,AGC Networks Limited
45,AGRITECH,Agri-Tech (India) Limited
46,AGROPHOS,Agro Phos India Limited
47,AHLADA,Ahlada Engineers Limited
48,AHLEAST,Asian Hotels (East) Limited
49,AHLUCONT,Ahluwalia Contracts (India) Limited
50,AHLWEST,Asian Hotels (West) Limited
51,AIAENG,AIA Engineering Limited
52,AIRAN,Airan Limited
53,AJANTPHARM,Ajanta Pharma Limited
54,AJMERA,Ajmera Realty & Infra India Limited
55,AKASH,Akash Infra-Projects Limited
56,AKG,Akg Exim Limited
57,AKSHARCHEM,AksharChem India Limited
58,AKSHOPTFBR,Aksh Optifibre Limited
59,AKZOINDIA,Akzo Nobel India Limited
60,ALANKIT,Alankit Limited
61,ALBERTDAVD,Albert David Limited
62,ALEMBICLTD,Alembic Limited
63,ALICON,Alicon Castalloy Limited
64,ALKALI,Alkali Metals Limited
65,ALKEM,Alkem Laboratories Limited
