Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
Aditya Birla Health Insurance,Activ Assure - Diamond,28021,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,41135,3,NO,100,YES,NO,77,,
HDFC Ergo Health Insurance,Optima Restore,33009,3,NO,100,YES,NO,92,,
HDFC Ergo Health Insurance,Health Wallet,47475,3,NO,100,YES,NO,92,,
Bajaj Allianz General Insurance Company Limited,Health Guard,32181,3,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,60281,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),24798,4,SINGLE PRIVATE,100,YES,NO,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,20580,4,2% SI,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,33679,4,NO,100,YES,NO,89,,
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),23421,2,NO,50,YES,NO,88,,
Max Bupa Health Insurance,Health Companion,28994,3,NO,100,YES,NO,90,,
Max Bupa Health Insurance,Heartbeat (Gold plan),60145,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),94912,2,NO,100,NO,NO,90,,
SBI General Insurance Company Ltd.,Arogya Premier,37548,4,NO,50,YES,NO,71,,
Care Health Insurance Company Limited,Care,27685,4,SINGLE PRIVATE,50,YES,NO,92,,
Future Generali India Insurance Company Ltd.,Health Total,33928,2,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,28220,3,SINGLE PRIVATE,100,YES,NO,93,,
Bharti AXA,Smart Super Health Insurance- Classic,30028,4,NO,0,YES,NO,79,,
National Insurance Company,Parivar Mediclaim Plus Polic- Plan B,51987,3,NO,0,NO,NO,69,,
The Oriental Insurance Company,Happy Family Floater-Diamond,40539,4,0.75% SI,0,NO,NO,72,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,23908,3,NO,100,YES,NO,86,,
Star Health Insurance,Family Health Optima Insurance Plan,27659,4,SINGLE PRIVATE,100,YES,NO,83,,
Star Health Insurance,Comprehensive Insurance,34386,3,SINGLE PRIVATE,100,YES,NO,83,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,64338,4,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline - Privilege Plan,86162,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),44918,2,NO,100,NO,NO,90,,
The New India Assurance Company,Premier Mediclaim,59747,3,NO,0,YES,NO,87,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,23728,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,24287,4,NO,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,27622,3,NO,100,YES,NO,77,,
