Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),14514,4,SINGLE PRIVATE,100,YES,NO,87,,
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),15612,2,NO,100,YES,NO,88,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,12888,3,NO,100,YES,NO,86,,
HDFC Ergo Health Insurance,Optima Restore,16615,3,NO,100,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),18001,3,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,17968,3,NO,100,YES,NO,89,,
Care Health Insurance Company Limited,Care,14735,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,13087,4,2% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,18090,3,NO,100,YES,NO,90,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,16638,4,NO,100,YES,NO,89,,
Future Generali India Insurance Company Ltd.,Health Total,16351,2,NO,100,YES,NO,90,,
HDFC Ergo Health Insurance,Health Wallet,23959,3,NO,100,YES,NO,92,,
Future Generali India Insurance Company Ltd.,Health Suraksha,15515,4,NO,50,NO,NO,90,,
Iffco Tokio General,Family Health Protector,15650,4,NO,50,NO,NO,93,,
Reliance General Insurance,HealthGain - Plan A,14921,3,SINGLE PRIVATE,100,YES,NO,93,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,10497,3,NO,50,YES,NO,75,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,27859,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),19104,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,14557,2,1% SI,25,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,14846,4,NO,50,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,15450,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,14873,4,NO,100,NO,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),34526,2,NO,100,NO,NO,90,,
Star Health Insurance,Comprehensive Insurance,17453,3,SINGLE PRIVATE,100,YES,NO,83,,
Liberty General Insurance Company Limited,Health Connect E-Connect,14996,4,NO,100,YES,NO,84,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,15475,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,17475,4,NO,100,YES,NO,77,,
Star Health Insurance,Family Health Optima Insurance Plan,16413,4,SINGLE PRIVATE,100,YES,NO,83,,
Max Bupa Health Insurance,GoActive,23123,3,NO,0,YES,NO,90,,
Bharti AXA,Smart Super Health Insurance- Value,15448,4,NO,0,YES,NO,79,,
The New India Assurance Company,Asha Kiran ( Family floater plan for a family having one girl child),6915,4,1% SI,0,NO,NO,87,,
The New India Assurance Company,Family Floater Mediclaim,10740,4,1% SI,0,NO,NO,87,,
United India Insurance company,Family Medicare,8378,4,1% SI,0,NO,NO,89,,
United India Insurance company,Family Medicare 2014,13901,4,1% SI,0,NO,NO,89,,
Liberty General Insurance Company Limited,Health Connect Basic,16528,4,NO,100,NO,NO,84,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,18766,3,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,16270,4,NO,25,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,20048,2,NO,100,YES,NO,84,,
Tata AIG,Tata AIG MediCare Premier,23042,2,NO,100,YES,NO,79,,
Liberty General Insurance Company Limited,Secure Health Connect,7347,4,1% SI,50,NO,NO,84,,
Bharti AXA,Smart Health Insurance Plan,16431,4,NO,0,NO,NO,79,,
The Oriental Insurance Company,Happy Family Floater-Silver,13737,4,1% SI,0,YES,NO,72,,
Liberty General Insurance Company Limited,Health Connect Elite,18874,3,NO,100,YES,NO,84,,
Cholamandalam MS General Insurance Company Limited,Family Healthline - Standard Plan,15854,4,0.6% SI,50,NO,NO,77,,
"
Cholamandalam MS General Insurance Company Limited",Classic Health – Family Floater,15941,4,0.6% SI,50,NO,NO,77,,
National Insurance Company,Parivar Mediclaim Policy,14280,4,1% SI,0,NO,NO,69,,
National Insurance Company,Parivar Mediclaim,10022,4,1% SI,0,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,25226,4,NO,100,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom Plan,19606,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,45952,4,NO,50,NO,NO,77,,
Max Bupa Health Insurance,Heartbeat (Silver plan Family First),23122,4,0.6% SI,50,NO,NO,90,,
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,16159,4,1% SI,25,NO,NO,71,,
