Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),82818,2,NO,0,NO,NO,88,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),60687,4,NO,0,NO,YES,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,91421,4,NO,0,NO,NO,89,,
Care Health Insurance Company Limited,Care,70491,4,NO,0,NO,YES,92,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,85290,3,NO,0,NO,NO,86,,
Max Bupa Health Insurance,Health Companion,93358,3,NO,0,NO,NO,90,,
Future Generali India Insurance Company Ltd.,Health Total - Superior,72775,3,NO,0,NO,YES,90,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,132540,2,NO,0,NO,NO,98,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,73974,4,NO,0,NO,NO,87,,
Aditya Birla Health Insurance,Activ Assure - Diamond,71340,4,NO,0,NO,YES,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,115558,3,NO,0,NO,NO,77,,
