Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),27253,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,45390,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Health Companion,41335,3,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),63218,2,NO,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,37342,4,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Guard,50048,3,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,63956,2,NO,50,YES,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,44067,3,NO,100,YES,NO,86,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,42409,3,NO,100,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),70033,2,NO,100,NO,NO,90,,
Care Health Insurance Company Limited,Care,64302,4,SINGLE PRIVATE,50,YES,NO,92,,
Aditya Birla Health Insurance,Activ Assure - Diamond,43310,4,NO,50,YES,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,70873,3,NO,100,YES,NO,92,,
The New India Assurance Company,Premier Mediclaim Policy-Plan B,56219,3,NO,0,NO,NO,87,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),100849,2,NO,100,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Elite,70531,2,NO,100,YES,NO,86,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,66166,3,NO,100,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,43564,4,NO,50,NO,NO,77,,
Future Generali India Insurance Company Ltd.,Health Total - Premiere,92126,2,NO,100,YES,NO,90,,
The New India Assurance Company,Premier Mediclaim,111077,3,NO,0,YES,NO,87,,
National Insurance Company,Mediclaim Plus Policy-Plan C,102484,3,0.4% SI,50,NO,NO,69,,
