Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),9,4,10,5,10,10,7,55
HDFC Ergo Health Insurance,Optima Restore,8,7,10,8,10,10,8,61
Max Bupa Health Insurance,Health Companion,8,7,10,8,10,10,8,61
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),7,4,10,8,10,10,7,56
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,9,7,10,8,10,10,6,60
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,10,10,8,10,10,7,63
Bajaj Allianz General Insurance Company Limited,Health Guard,8,7,10,8,10,10,7,60
Max Bupa Health Insurance,Heartbeat (Gold plan),6,4,10,8,3,10,8,49
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),7,4,10,8,3,10,8,50
Care Health Insurance Company Limited,Care,7,10,10,5,10,10,8,60
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,8,7,10,3,3,10,4,45
HDFC Ergo Health Insurance,Health Wallet,6,7,10,8,10,10,8,59
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,5,4,10,5,10,10,7,51
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,7,10,8,10,10,4,56
Aditya Birla Health Insurance,Activ Assure - Diamond,8,10,10,5,10,10,4,57
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,4,10,8,3,10,8,46
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,5,4,10,8,10,10,6,53
Future Generali India Insurance Company Ltd.,Health Total,3,4,10,8,10,10,8,53
Bharti AXA,Smart Super Health Insurance- Uber,8,10,10,3,10,10,4,55
The New India Assurance Company,Premier Mediclaim,3,7,10,3,10,10,7,50
National Insurance Company,Parivar Mediclaim Plus Policy- Plan C,5,7,10,3,3,10,3,41
