Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),9,5,10,3,3,10,7,47
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,6,5,10,3,3,10,8,45
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),8,5,10,3,3,0,7,36
Max Bupa Health Insurance,Health Companion,8,7,10,3,3,10,8,49
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,3,3,10,8,51
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,7,10,3,3,10,6,47
Care Health Insurance Company Limited,Care,6,9,10,3,3,0,9,40
Royal Sundaram General Insurance Company,Lifeline - Elite,3,5,10,3,3,10,6,40
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,3,3,0,3,36
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,5,7,10,3,3,10,3,41
Future Generali India Insurance Company Ltd.,Health Total - Premiere,3,5,10,3,3,0,8,32
